Satellite,Time,S4C,Lat,Lon
G23,2025-06-11 09:39:20,0.334804,18.057336,99.09871
G23,2025-06-11 09:41:00,0.340712,18.043397,99.171111
G15,2025-06-11 09:42:40,0.300702,18.403608,103.116698
G15,2025-06-11 09:43:20,0.304835,18.431423,103.154057
G15,2025-06-11 09:43:30,0.323759,18.438384,103.163461
G15,2025-06-11 09:43:40,0.336753,18.445348,103.172892
G15,2025-06-11 09:43:50,0.33422,18.452315,103.18235
G15,2025-06-11 09:44:00,0.349055,18.459285,103.191833
G15,2025-06-11 09:44:10,0.330533,18.466258,103.201343
G15,2025-06-11 09:44:20,0.311238,18.473234,103.21088
G15,2025-06-11 09:44:30,0.303771,18.480212,103.220443
